ZOMET_IRONI,SEMEL_YISHUV,X,Y,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
7730007.0,6500,193110.0,704401.0,2023,5,59,4,1,4,1,8,3,0,1,1,2,3,1,0,6.0,1,1,32,10,2,1.32,25.0
7730007.0,6500,193110.0,704401.0,2023,5,59,4,1,4,1,8,3,0,1,1,2,3,1,0,6.0,1,1,32,12,1,1.32,30.0
7970002.0,9700,190236.0,673048.0,2023,12,39,4,1,2,1,9,0,5,1,1,1,3,1,1,2.0,1,1,42,15,2,1.32,50.0
7970002.0,9700,190236.0,673048.0,2023,12,39,4,1,2,1,9,0,5,1,1,1,3,1,1,2.0,1,1,42,6,2,1.32,6.0
10610111.0,8600,183756.0,667285.0,2023,11,58,4,1,1,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,6,1,1.98,11.0
10610111.0,8600,183756.0,667285.0,2023,11,58,4,1,1,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,11,1,1.98,36.0
17120213.0,5000,182873.0,668988.0,2023,9,55,4,1,5,1,8,3,0,1,1,4,4,1,1,2.0,1,1,51,8,1,0.6,3.0
7990002.0,7100,159419.0,620250.0,2023,5,55,4,1,3,1,9,0,3,1,1,3,3,1,0,6.0,1,1,61,4,1,1.32,3.0
20420735.0,5000,176684.0,660184.0,2023,12,75,4,5,2,1,8,1,0,1,3,4,3,3,1,2.0,1,1,51,5,1,6.32,6.0
14350714.0,5000,177902.0,661953.0,2023,1,32,4,1,1,1,9,3,0,1,1,0,3,1,1,2.0,1,1,51,10,1,3.84,29.0
14350714.0,5000,177902.0,661953.0,2023,1,32,4,1,1,1,9,3,0,1,1,0,3,1,1,2.0,1,1,51,15,1,3.84,
97710478.0,8600,184832.0,662148.0,2023,6,45,4,1,2,1,9,3,0,1,0,3,5,1,0,1.0,1,1,51,13,2,0.9,43.0
8070011.0,70,167320.0,633180.0,2023,9,40,4,1,3,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,6,1,6.0,10.0
8070011.0,70,167320.0,633180.0,2023,9,40,4,1,3,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,16,1,6.0,34.0
8070011.0,70,167320.0,633180.0,2023,9,40,4,1,3,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,10,1,6.0,30.0
14620713.0,5000,178568.0,662021.0,2023,3,3,4,5,6,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,5,1,1.92,7.0
14620713.0,5000,178568.0,662021.0,2023,3,3,4,5,6,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,4,1,1.92,4.0
14620713.0,5000,178568.0,662021.0,2023,3,3,4,5,6,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,99,0,1.92,
8940031.0,6200,175832.0,658011.0,2023,9,64,4,1,2,1,8,3,0,1,1,4,3,1,1,2.0,1,1,51,13,1,2.85,27.0
9850054.0,7900,190940.0,665512.0,2023,9,82,4,5,5,1,8,1,0,1,1,2,3,3,0,1.0,1,1,42,7,2,1.92,16.0
30023.0,6200,175777.0,659141.0,2023,5,51,1,1,6,1,9,9,0,0,0,0,5,11,9,,9,9,51,9,1,1.98,19.0
30023.0,6200,175777.0,659141.0,2023,5,51,1,1,6,1,9,9,0,0,0,0,5,11,9,,9,9,51,13,1,1.98,45.0
550225.0,5000,184323.0,668576.0,2023,12,70,4,5,1,1,8,3,0,1,1,2,3,3,0,7.0,1,1,51,13,1,0.6,47.0
10680048.0,8700,189451.0,676806.0,2023,8,91,4,5,1,1,8,3,0,1,1,3,3,3,0,1.0,1,1,42,16,1,1.32,59.0
10680048.0,8700,189451.0,676806.0,2023,8,91,4,5,1,1,8,3,0,1,1,3,3,3,0,1.0,1,1,42,4,1,1.32,
7420002.0,7200,181005.0,647998.0,2023,4,46,4,1,3,1,9,0,3,1,1,3,3,1,1,2.0,1,1,44,11,1,3.84,39.0
7420002.0,7200,181005.0,647998.0,2023,4,46,4,1,3,1,9,0,3,1,1,3,3,1,1,2.0,1,1,44,5,2,3.84,5.0
11100006.0,6600,181289.0,658132.0,2023,8,47,4,1,2,1,9,0,5,5,1,1,3,1,1,2.0,1,1,51,9,1,1.32,27.0
11100006.0,6600,181289.0,658132.0,2023,8,47,4,1,2,1,9,0,5,5,1,1,3,1,1,2.0,1,1,51,7,2,1.32,19.0
8830021.0,7100,160572.0,620557.0,2023,6,68,4,1,2,1,8,3,0,1,1,2,3,11,0,6.0,1,1,61,5,2,1.32,8.0
8830021.0,7100,160572.0,620557.0,2023,6,68,4,1,2,1,8,3,0,1,1,2,3,11,0,6.0,1,1,61,15,1,1.32,32.0
13370814.0,5000,178633.0,662478.0,2023,4,64,4,1,5,1,9,3,0,1,1,0,5,1,1,2.0,1,1,51,99,0,1.92,
