HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
3,42,4,1,1,1,8,0,3,1,1,3,3,1,1,2,1,1,44,8,1,1.32,15
3,42,4,1,1,1,8,0,3,1,1,3,3,1,1,2,1,1,44,6,2,1.32,11
3,93,4,5,6,1,5,0,3,1,1,2,3,3,0,1,5,1,23,5,1,1.32,6
11,54,4,1,5,1,8,3,0,1,1,2,3,1,1,2,1,1,51,99,0,1.32,
11,54,4,1,5,1,8,3,0,1,1,2,3,1,1,2,1,1,51,6,2,1.32,7
1,74,4,5,1,1,9,0,3,1,1,4,3,3,1,2,1,1,42,4,1,1.98,
1,74,4,5,1,1,9,0,3,1,1,4,3,3,1,2,1,1,42,99,0,1.98,
4,53,4,1,5,1,8,1,0,1,1,3,3,1,0,1,1,1,51,11,1,0.9,35
2,65,4,1,6,1,8,3,0,6,3,4,5,11,1,3,2,1,51,10,1,1.92,28
9,76,4,5,1,1,9,1,0,1,1,2,3,6,0,6,1,1,62,14,2,5.04,46
9,76,4,5,1,1,9,1,0,1,1,2,3,6,0,6,1,1,62,6,1,5.04,8
8,83,4,5,3,1,8,3,0,1,1,2,3,3,1,2,1,1,31,5,1,8.52,6
8,83,4,5,3,1,8,3,0,1,1,2,3,3,1,2,1,1,31,11,1,8.52,38
7,78,4,1,2,1,8,0,3,1,1,3,3,11,1,2,1,1,61,15,1,2.52,55
7,78,4,1,2,1,8,0,3,1,1,3,3,11,1,2,1,1,61,7,1,2.52,17
3,68,4,1,3,1,8,0,3,1,1,3,3,1,1,2,1,6,61,5,2,2.52,9
3,68,4,1,3,1,8,0,3,1,1,3,3,1,1,2,1,6,61,10,2,2.52,29
12,64,4,1,3,1,8,3,0,1,0,0,2,1,0,1,1,1,77,5,1,0.6,6
3,50,4,1,4,1,8,3,0,1,1,4,3,1,1,2,1,1,42,6,1,3.8,7
3,50,4,1,4,1,8,3,0,1,1,4,3,1,1,2,1,1,42,5,2,3.8,6
8,35,4,1,1,1,9,3,0,1,1,2,3,1,0,1,1,1,51,15,1,0.6,56
12,67,4,5,6,1,8,0,3,1,1,5,3,3,1,2,1,1,11,11,1,3.84,34
12,67,4,5,6,1,8,0,3,1,1,5,3,3,1,2,1,1,11,13,1,3.84,46
9,32,4,1,4,1,8,1,0,1,1,1,3,1,0,1,1,1,51,8,2,1.32,23
9,32,4,1,4,1,8,1,0,1,1,1,3,1,0,1,1,1,51,3,1,1.32,
9,66,4,1,2,1,9,3,0,6,1,2,5,2,1,2,9,5,11,6,2,5.04,5
1,30,4,1,1,1,9,3,0,1,0,2,5,1,0,7,1,1,51,99,0,1.32,
1,30,4,1,1,1,9,3,0,1,0,2,5,1,0,7,1,1,51,99,0,1.32,
7,82,4,5,5,1,8,1,0,1,1,2,3,6,1,2,1,1,51,11,1,2.52,38
7,82,4,5,5,1,8,1,0,1,1,2,3,6,1,2,1,1,51,6,1,2.52,10
6,75,4,1,6,1,9,0,4,1,1,5,5,1,0,1,1,1,61,13,1,1.92,47
6,75,4,1,6,1,9,0,4,1,1,5,5,1,0,1,1,1,61,6,1,1.92,6
8,30,4,1,1,1,8,0,2,1,1,4,3,1,0,1,1,1,42,14,1,1.92,29
8,30,4,1,1,1,8,0,2,1,1,4,3,1,0,1,1,1,42,6,1,1.92,
10,13,1,5,7,1,9,0,2,1,1,5,3,3,1,2,1,1,44,5,1,1.98,6
10,13,1,5,7,1,9,0,2,1,1,5,3,3,1,2,1,1,44,7,1,1.98,11
5,42,4,1,5,1,9,9,0,0,0,0,5,11,9,,9,9,61,14,1,0.9,50
5,44,4,1,6,1,9,3,0,1,1,2,3,1,0,7,1,1,42,16,1,0.6,63
3,77,4,5,4,1,8,1,0,1,1,3,3,3,1,2,1,1,43,8,2,1.32,22
3,77,4,5,4,1,8,1,0,1,1,3,3,3,1,2,1,1,43,6,1,1.32,11
12,69,4,5,4,1,5,0,3,1,1,2,3,10,0,5,1,1,42,14,1,0.9,29
6,42,4,1,5,1,8,3,0,1,1,5,3,1,0,1,1,1,31,7,2,0.6,13
1,53,4,1,2,1,8,3,0,1,1,2,5,1,1,2,1,1,51,14,1,2.52,48
1,53,4,1,2,1,8,3,0,1,1,2,5,1,1,2,1,1,51,9,2,2.52,23
4,37,4,1,1,1,9,1,0,1,1,3,3,1,0,1,1,1,51,6,1,0.6,5
1,57,4,1,7,1,8,0,3,2,1,3,3,1,1,2,1,1,62,10,1,1.32,17
1,57,4,1,7,1,8,0,3,2,1,3,3,1,1,2,1,1,62,13,1,1.32,34
4,84,1,5,4,1,9,3,0,8,1,3,1,6,1,3,9,1,11,10,1,10.76,28
4,84,1,5,4,1,9,3,0,8,1,3,1,6,1,3,9,1,11,6,1,10.76,13
8,75,4,1,6,1,8,0,3,0,0,2,3,1,0,6,1,1,62,4,1,2.52,4
8,75,4,1,6,1,8,0,3,0,0,2,3,1,0,6,1,1,62,5,2,2.52,7
4,52,4,1,7,1,9,0,3,2,1,2,4,1,1,2,1,1,62,9,2,1.32,26
4,52,4,1,7,1,9,0,3,2,1,2,4,1,1,2,1,1,62,15,1,1.32,47
12,74,4,5,6,1,8,3,0,1,1,3,3,3,1,2,1,1,51,14,2,3.97,46
7,80,4,5,2,1,8,0,2,1,1,4,3,6,1,2,1,1,44,9,1,1.32,28
7,80,4,5,2,1,8,0,2,1,1,4,3,6,1,2,1,1,44,13,2,1.32,27
8,83,4,5,2,1,9,9,0,0,0,0,5,6,0,1,9,9,11,13,1,0.6,41
4,55,4,1,3,1,8,0,3,1,1,2,3,1,0,1,1,1,42,16,1,0.6,54
12,80,4,5,3,1,9,0,3,1,0,3,2,3,0,1,2,2,11,14,1,0.6,49
4,63,4,1,5,1,9,0,3,2,1,0,3,1,1,2,1,1,41,12,1,4.5,41
4,63,4,1,5,1,9,0,3,2,1,0,3,1,1,2,1,1,41,10,2,4.5,6
11,51,4,1,1,1,8,0,4,1,1,2,3,1,0,6,1,1,43,4,2,2.82,3
1,84,4,5,7,1,9,3,0,1,1,2,3,3,1,2,1,1,11,16,1,0.6,55
3,44,4,1,1,1,11,0,2,1,1,5,3,1,1,2,1,1,31,13,1,3.8,36
2,43,4,1,3,1,8,1,0,1,1,3,3,1,1,2,1,1,11,7,1,1.32,17
2,43,4,1,3,1,8,1,0,1,1,3,3,1,1,2,1,1,11,7,1,1.32,12
5,60,2,1,5,1,8,1,0,2,1,4,3,1,1,2,1,1,62,9,1,1.32,10
5,60,2,1,5,1,8,1,0,2,1,4,3,1,1,2,1,1,62,8,1,1.32,16
4,89,4,5,3,1,8,0,3,1,1,3,3,3,0,1,1,1,61,4,2,3.97,4
4,89,4,5,3,1,8,0,3,1,1,3,3,3,0,1,1,1,61,10,1,3.97,34
12,64,4,1,2,1,11,1,0,1,1,0,3,1,1,2,1,1,51,9,1,5.64,24
12,64,4,1,2,1,11,1,0,1,1,0,3,1,1,2,1,1,51,6,1,5.64,4
9,57,2,1,1,1,8,3,0,1,1,3,4,1,0,1,1,1,21,5,1,1.98,4
9,57,2,1,1,1,8,3,0,1,1,3,4,1,0,1,1,1,21,9,1,1.98,26
7,58,4,1,7,1,9,0,2,3,1,3,3,1,9,,1,1,24,14,1,2.52,47
6,40,4,1,6,1,8,1,0,1,1,2,3,1,0,5,1,1,51,15,1,1.32,30
6,40,4,1,6,1,8,1,0,1,1,2,3,1,0,5,1,1,51,8,1,1.32,
3,43,4,1,4,1,9,3,0,1,1,2,5,1,1,2,1,1,51,99,0,0.6,
9,42,4,1,6,1,9,9,0,0,0,0,5,11,1,2,9,9,11,14,2,1.92,43
9,42,4,1,6,1,9,9,0,0,0,0,5,11,1,2,9,9,11,7,2,1.92,12
4,42,2,1,4,1,8,0,3,3,1,4,3,1,1,2,1,1,61,10,1,8.16,
4,42,2,1,4,1,8,0,3,3,1,4,3,1,1,2,1,1,61,14,1,8.16,43
4,42,2,1,4,1,8,0,3,3,1,4,3,1,1,2,1,1,61,6,1,8.16,11
7,28,4,1,3,1,9,9,0,0,0,0,5,11,9,,9,9,31,10,2,0.9,32
4,83,4,5,2,1,9,3,0,1,1,4,5,6,1,2,9,1,11,6,1,5.1,8
7,78,4,1,2,1,8,0,5,3,1,4,3,1,1,2,1,1,61,11,1,3.84,27
7,78,4,1,2,1,8,0,5,3,1,4,3,1,1,2,1,1,61,8,2,3.84,5
7,78,4,1,2,1,8,0,5,3,1,4,3,1,1,2,1,1,61,6,2,3.84,8
7,78,4,1,2,1,8,0,5,3,1,4,3,1,1,2,1,1,61,6,1,3.84,14
4,69,4,1,3,1,9,3,0,1,1,0,3,1,1,2,1,1,51,6,2,1.32,8
4,69,4,1,3,1,9,3,0,1,1,0,3,1,1,2,1,1,51,7,1,1.32,14
3,28,4,1,2,1,9,1,0,1,1,2,5,1,0,6,9,2,11,6,1,4.12,7
3,28,4,1,2,1,9,1,0,1,1,2,5,1,0,6,9,2,11,8,1,4.12,20
11,47,4,1,3,1,8,1,0,1,1,3,5,1,1,2,1,1,51,6,1,0.6,11
8,80,4,5,5,1,9,9,0,0,0,0,5,6,1,2,9,9,62,15,2,7.62,32
8,80,4,5,5,1,9,9,0,0,0,0,5,6,1,2,9,9,62,11,1,7.62,36
2,81,4,5,2,1,9,3,0,1,1,3,5,3,1,2,1,1,51,9,1,0.9,24
5,29,4,1,3,1,9,0,2,1,1,2,3,1,0,6,1,1,77,14,2,1.32,39
6,49,4,1,2,1,8,1,0,1,1,2,3,1,0,1,1,1,51,16,1,1.32,60
6,49,4,1,2,1,8,1,0,1,1,2,3,1,0,1,1,1,51,99,0,1.32,
3,3,4,5,6,1,9,0,3,1,1,3,5,3,0,1,1,1,42,18,1,1.32,67
3,3,4,5,6,1,9,0,3,1,1,3,5,3,0,1,1,1,42,5,1,1.32,7
12,33,4,1,5,1,9,9,0,0,0,0,5,11,9,,9,9,61,9,1,1.98,21
12,33,4,1,5,1,9,9,0,0,0,0,5,11,9,,9,9,61,7,1,1.98,17
5,33,4,1,4,1,9,3,0,1,1,4,3,1,9,7,1,1,11,9,1,1.32,19
5,33,4,1,4,1,9,3,0,1,1,4,3,1,9,7,1,1,11,15,1,1.32,42
7,67,4,1,1,1,8,1,0,1,1,2,3,1,0,5,1,1,42,5,2,1.32,4
7,67,4,1,1,1,8,1,0,1,1,2,3,1,0,5,1,1,42,9,1,1.32,24
5,75,4,1,1,1,8,3,0,1,1,2,3,1,0,1,1,1,77,5,1,1.32,7
5,50,4,1,2,1,9,1,0,1,1,4,3,1,0,1,1,1,51,12,1,5.64,39
5,50,4,1,2,1,9,1,0,1,1,4,3,1,0,1,1,1,51,16,1,5.64,63
5,50,4,1,2,1,9,1,0,1,1,4,3,1,0,1,1,1,51,10,1,5.64,15
5,50,4,1,2,1,9,1,0,1,1,4,3,1,0,1,1,1,51,12,2,5.64,37
5,50,4,1,2,1,9,1,0,1,1,4,3,1,0,1,1,1,51,16,1,5.64,55
9,56,4,1,6,1,8,0,3,1,1,3,3,1,0,6,1,1,24,7,1,1.32,16
9,56,4,1,6,1,8,0,3,1,1,3,3,1,0,6,1,1,24,9,2,1.32,21
5,47,4,1,2,1,9,0,5,1,1,0,3,1,9,,1,1,51,7,2,0.6,17
3,71,2,5,2,1,8,0,3,1,1,2,3,6,1,2,1,1,11,6,1,0.9,3
1,24,4,5,3,1,8,3,0,1,1,2,3,6,1,2,1,1,51,18,1,1.32,69
1,24,4,5,3,1,8,3,0,1,1,2,3,6,1,2,1,1,51,12,2,1.32,40
3,55,4,1,2,1,8,3,0,1,1,3,3,1,1,2,1,1,51,9,1,1.32,21
3,55,4,1,2,1,8,3,0,1,1,3,3,1,1,2,1,1,51,8,1,1.32,20
7,46,4,1,1,1,8,3,0,1,1,1,3,1,1,2,1,1,31,12,2,2.52,5
7,46,4,1,1,1,8,3,0,1,1,1,3,1,1,2,1,1,31,12,1,2.52,41
10,39,4,1,3,1,9,3,0,1,1,2,3,1,0,6,1,1,23,12,2,0.6,30
5,94,4,5,5,1,8,3,0,1,1,3,3,3,0,6,1,1,22,13,1,1.32,31
5,94,4,5,5,1,8,3,0,1,1,3,3,3,0,6,1,1,22,9,1,1.32,28
6,80,4,5,1,1,8,0,3,3,1,3,3,3,1,2,1,1,61,99,0,6,
6,80,4,5,1,1,8,0,3,3,1,3,3,3,1,2,1,1,61,5,1,6,6
4,39,4,1,1,1,9,0,5,1,1,3,3,1,0,6,1,1,42,6,2,1.32,9
4,39,4,1,1,1,9,0,5,1,1,3,3,1,0,6,1,1,42,6,1,1.32,3
12,71,4,5,3,1,8,3,0,1,1,2,3,8,0,1,1,1,11,7,2,0.9,11
7,37,4,1,4,1,8,0,3,3,1,4,5,1,1,2,1,1,61,10,2,4.44,12
7,37,4,1,4,1,8,0,3,3,1,4,5,1,1,2,1,1,61,99,0,4.44,
2,16,4,5,6,1,8,0,2,1,1,4,3,3,1,2,1,1,11,8,1,8.24,14
2,16,4,5,6,1,8,0,2,1,1,4,3,3,1,2,1,1,11,14,1,8.24,48
2,34,4,1,5,1,8,0,2,1,1,2,3,1,1,2,1,1,41,9,1,1.32,6
2,34,4,1,5,1,8,0,2,1,1,2,3,1,1,2,1,1,41,8,2,1.32,16
9,83,4,5,3,1,9,9,0,0,0,0,5,6,1,2,9,9,11,8,2,1.98,19
9,83,4,5,3,1,9,9,0,0,0,0,5,6,1,2,9,9,11,7,1,1.98,14
1,27,4,5,6,1,8,1,0,3,1,2,3,6,1,2,2,2,31,9,1,2.52,15
1,27,4,5,6,1,8,1,0,3,1,2,3,6,1,2,2,2,31,6,1,2.52,11
2,73,4,5,2,1,9,3,0,1,1,2,3,3,0,1,2,2,11,5,1,1.92,6
7,1,4,5,1,1,8,3,0,1,1,2,3,3,1,2,1,1,51,8,1,2.57,17
7,1,4,5,1,1,8,3,0,1,1,2,3,3,1,2,1,1,51,12,1,2.57,40
3,40,4,1,5,1,8,0,3,2,1,4,3,1,1,2,1,1,61,16,1,4.44,53
3,40,4,1,5,1,8,0,3,2,1,4,3,1,1,2,1,1,61,16,1,4.44,34
7,31,4,1,1,1,8,0,2,1,1,2,3,1,9,,1,1,77,4,1,0.6,3
10,45,4,1,2,1,8,0,3,1,1,1,3,1,0,6,1,1,42,8,1,1.32,15
10,45,4,1,2,1,8,0,3,1,1,1,3,1,0,6,1,1,42,7,2,1.32,12
9,67,4,1,7,1,8,0,4,1,1,3,3,1,1,2,1,1,44,17,2,1.32,45
9,67,4,1,7,1,8,0,4,1,1,3,3,1,1,2,1,1,44,5,1,1.32,6
3,30,4,1,4,1,9,3,0,1,1,3,3,1,0,1,1,1,62,11,2,0.9,23
9,33,4,1,3,1,8,3,0,1,1,3,3,1,0,1,1,1,51,15,1,3.42,55
12,38,4,1,5,1,8,3,0,1,1,2,3,1,0,1,1,1,51,11,1,0.6,38
8,21,4,5,1,1,9,0,5,3,1,5,3,3,1,2,9,9,31,14,1,2.52,32
8,21,4,5,1,1,9,0,5,3,1,5,3,3,1,2,9,9,31,6,1,2.52,10
10,63,4,1,1,1,8,0,3,1,1,2,3,1,1,2,1,1,51,11,1,4.5,33
10,63,4,1,1,1,8,0,3,1,1,2,3,1,1,2,1,1,51,5,1,4.5,3
10,63,4,1,1,1,8,0,3,1,1,2,3,1,1,2,1,1,51,11,1,4.5,35
10,63,4,1,1,1,8,0,3,1,1,2,3,1,1,2,1,1,51,5,2,4.5,
9,31,4,1,3,1,9,0,5,1,1,2,3,1,0,7,1,1,32,8,2,0.6,23
7,11,4,5,1,1,9,3,0,1,1,2,3,10,1,2,9,1,11,15,2,2.52,33
7,11,4,5,1,1,9,3,0,1,1,2,3,10,1,2,9,1,11,4,2,2.52,3
11,51,4,1,1,1,8,2,0,1,1,2,3,1,1,2,1,1,11,6,1,0.9,9
6,77,4,1,4,1,8,0,3,1,1,1,3,1,0,1,1,1,41,13,2,0.6,45
3,73,4,1,6,1,9,3,0,1,1,1,3,1,0,1,1,1,43,7,1,1.32,10
3,73,4,1,6,1,9,3,0,1,1,1,3,1,0,1,1,1,43,6,1,1.32,13
10,67,4,1,6,1,8,0,3,3,1,4,3,1,1,2,1,1,41,11,1,4.5,36
10,67,4,1,6,1,8,0,3,3,1,4,3,1,1,2,1,1,41,14,1,4.5,
11,19,4,5,3,1,8,3,0,1,1,2,3,10,0,5,9,2,22,5,1,2.52,3
11,19,4,5,3,1,8,3,0,1,1,2,3,10,0,5,9,2,22,6,1,2.52,11
5,83,4,5,2,1,8,3,0,1,1,2,3,3,0,1,1,1,51,5,1,0.6,4
5,64,4,1,3,1,5,3,0,1,1,2,3,1,0,1,1,1,51,8,2,0.6,16
1,71,4,5,3,1,8,0,3,1,1,3,3,6,1,2,1,1,11,8,2,1.32,15
1,71,4,5,3,1,8,0,3,1,1,3,3,6,1,2,1,1,11,10,2,1.32,29
6,83,4,5,6,1,8,0,5,2,1,2,3,6,1,2,1,1,31,6,2,5.94,10
6,83,4,5,6,1,8,0,5,2,1,2,3,6,1,2,1,1,31,5,1,5.94,7
5,29,4,1,2,1,8,2,0,1,1,3,3,1,1,2,1,1,11,10,1,5.04,34
5,29,4,1,2,1,8,2,0,1,1,3,3,1,1,2,1,1,11,8,1,5.04,14
1,45,4,1,5,1,9,0,4,1,1,2,3,1,0,1,1,1,31,11,2,1.32,16
1,45,4,1,5,1,9,0,4,1,1,2,3,1,0,1,1,1,31,6,2,1.32,5
1,79,4,5,4,1,9,0,3,2,1,3,3,3,1,2,1,1,31,16,1,3.12,60
2,21,4,5,6,1,9,3,0,1,1,2,3,6,1,2,1,1,51,8,1,3.2,16
2,21,4,5,6,1,9,3,0,1,1,2,3,6,1,2,1,1,51,13,1,3.2,48
12,78,4,5,1,1,9,0,3,1,0,3,3,3,1,2,1,1,11,5,1,1.92,2
12,78,4,5,1,1,9,0,3,1,0,3,3,3,1,2,1,1,11,3,1,1.92,
5,45,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,61,10,1,2.22,8
12,43,4,1,4,1,8,3,0,1,1,2,3,1,1,2,1,1,51,10,1,1.92,28
12,43,4,1,4,1,8,3,0,1,1,2,3,1,1,2,1,1,51,12,1,1.92,42
5,33,4,1,1,1,8,0,3,1,1,0,3,1,1,2,1,1,42,9,1,0.6,21
12,58,4,1,1,1,8,3,0,1,1,3,3,1,0,6,1,1,51,99,0,3.2,
12,58,4,1,1,1,8,3,0,1,1,3,3,1,0,6,1,1,51,6,1,3.2,7
3,61,4,1,5,1,9,0,5,1,1,2,3,1,0,5,1,1,41,16,1,1.32,59
3,61,4,1,5,1,9,0,5,1,1,2,3,1,0,5,1,1,41,12,1,1.32,37
2,48,4,1,1,1,8,0,3,1,1,2,3,1,1,2,1,1,51,9,2,1.32,11
1,16,4,5,6,1,9,0,3,1,1,2,3,3,0,6,1,1,44,6,1,0.9,7
9,18,2,5,1,1,9,3,0,1,0,2,3,6,0,5,1,1,51,14,1,1.98,50
9,18,2,5,1,1,9,3,0,1,0,2,3,6,0,5,1,1,51,4,1,1.98,4
6,86,4,5,1,1,8,0,3,1,1,4,3,3,1,2,1,1,44,5,1,1.32,7
6,86,4,5,1,1,8,0,3,1,1,4,3,3,1,2,1,1,44,11,2,1.32,29
11,9,4,5,2,1,9,9,0,0,0,0,5,6,1,2,9,9,31,14,1,6.36,35
11,9,4,5,2,1,9,9,0,0,0,0,5,6,1,2,9,9,31,9,1,6.36,3
5,96,4,5,5,1,8,0,4,1,1,3,2,3,0,6,1,1,61,6,2,1.32,11
5,96,4,5,5,1,8,0,4,1,1,3,2,3,0,6,1,1,61,5,1,1.32,4
1,82,4,5,7,1,8,1,0,1,1,5,3,3,0,1,1,1,23,6,1,1.98,11
1,82,4,5,7,1,8,1,0,1,1,5,3,3,0,1,1,1,23,5,2,1.98,6
1,35,4,1,5,1,8,1,0,1,1,4,3,1,1,2,1,1,51,9,1,1.32,24
1,35,4,1,5,1,8,1,0,1,1,4,3,1,1,2,1,1,51,8,1,1.32,20
7,51,4,1,5,1,9,3,0,3,1,0,3,1,1,2,1,1,31,12,1,1.32,42
7,51,4,1,5,1,9,3,0,3,1,0,3,1,1,2,1,1,31,6,1,1.32,8
12,69,4,5,7,1,8,0,3,1,1,3,3,3,0,1,2,2,43,7,1,1.32,
12,69,4,5,7,1,8,0,3,1,1,3,3,3,0,1,2,2,43,7,1,1.32,18
8,91,4,5,7,1,5,0,3,1,1,3,3,3,0,5,1,1,51,4,1,0.6,3
8,94,4,5,3,1,8,0,3,1,1,3,3,3,1,2,1,1,42,9,1,8.24,23
8,94,4,5,3,1,8,0,3,1,1,3,3,3,1,2,1,1,42,5,1,8.24,5
2,46,4,1,5,1,8,3,0,1,1,3,3,1,0,1,1,1,24,6,1,1.98,12
2,46,4,1,5,1,8,3,0,1,1,3,3,1,0,1,1,1,24,12,1,1.98,40
2,29,4,1,6,1,8,0,3,2,1,3,3,1,9,7,1,1,43,7,1,0.9,12
8,60,4,1,4,1,9,3,0,1,1,0,3,1,1,2,1,1,51,5,1,1.92,4
8,4,4,5,3,1,8,3,0,3,1,3,3,3,1,2,1,1,24,9,1,1.32,27
8,4,4,5,3,1,8,3,0,3,1,3,3,3,1,2,1,1,24,9,2,1.32,23
2,83,4,5,1,1,8,0,3,1,1,2,3,3,1,2,1,1,11,6,1,2.52,8
2,83,4,5,1,1,8,0,3,1,1,2,3,3,1,2,1,1,11,7,2,2.52,7
4,70,1,1,4,1,8,0,2,1,1,5,3,1,1,2,1,1,61,5,1,4.44,8
4,70,1,1,4,1,8,0,2,1,1,5,3,1,1,2,1,1,61,8,2,4.44,19
4,62,4,1,1,1,8,0,5,1,1,3,5,1,1,2,1,1,61,11,1,2.88,33
4,62,4,1,1,1,8,0,5,1,1,3,5,1,1,2,1,1,61,11,2,2.88,31
12,39,4,1,4,1,8,3,0,1,1,2,3,1,0,5,1,1,44,4,2,4.5,4
12,39,4,1,4,1,8,3,0,1,1,2,3,1,0,5,1,1,44,11,2,4.5,30
12,75,4,5,3,1,8,3,0,1,1,2,3,3,0,7,1,1,29,14,1,0.6,39
12,72,4,5,1,1,9,0,3,1,1,3,3,3,0,1,1,1,24,14,1,1.32,27
12,72,4,5,1,1,9,0,3,1,1,3,3,3,0,1,1,1,24,6,1,1.32,13
9,80,4,5,1,1,8,2,0,1,1,5,5,6,9,,9,9,44,99,0,0.6,
3,29,4,1,5,1,8,1,0,1,1,2,3,1,1,2,1,1,51,9,2,1.32,23
3,29,4,1,5,1,8,1,0,1,1,2,3,1,1,2,1,1,51,5,1,1.32,4
9,57,4,1,2,1,9,0,4,1,1,3,4,1,0,1,9,1,61,13,1,0.9,48
5,13,4,5,3,1,8,0,5,1,1,2,1,3,0,5,9,1,61,4,1,1.32,3
5,13,4,5,3,1,8,0,5,1,1,2,1,3,0,5,9,1,61,4,1,1.32,3
9,33,4,1,5,1,8,3,0,1,1,2,3,11,0,1,1,1,41,7,1,0.6,17
3,83,4,5,1,1,9,2,0,1,0,3,3,3,1,2,1,1,11,7,1,2.52,8
3,83,4,5,1,1,9,2,0,1,0,3,3,3,1,2,1,1,11,6,1,2.52,6
9,55,4,1,2,1,8,1,0,1,1,4,3,1,1,2,1,1,11,5,1,1.92,8
5,67,4,1,7,1,8,0,3,2,1,4,3,1,1,2,1,1,42,11,1,1.32,31
5,67,4,1,7,1,8,0,3,2,1,4,3,1,1,2,1,1,42,9,2,1.32,28
8,2,4,5,5,1,8,3,0,1,1,3,3,6,1,2,1,1,51,7,2,5.64,17
8,2,4,5,5,1,8,3,0,1,1,3,3,6,1,2,1,1,51,16,2,5.64,25
11,35,4,1,4,1,9,0,3,1,1,2,4,1,0,1,1,1,41,17,1,0.6,
8,40,4,1,1,1,8,3,0,1,1,2,3,1,1,2,1,6,51,8,1,4.12,23
8,40,4,1,1,1,8,3,0,1,1,2,3,1,1,2,1,6,51,14,1,4.12,45
8,40,4,1,1,1,8,3,0,1,1,2,3,1,1,2,1,6,51,99,0,4.12,
1,29,4,1,1,1,8,3,0,1,1,3,3,1,0,6,2,2,24,10,2,1.32,19
1,29,4,1,1,1,8,3,0,1,1,3,3,1,0,6,2,2,24,7,1,1.32,15
1,26,4,5,4,1,8,3,0,1,1,2,3,6,9,7,1,1,24,14,1,0.9,30
5,59,4,1,5,1,9,9,0,0,0,0,5,11,9,,9,9,44,4,1,2.58,
5,59,4,1,5,1,9,9,0,0,0,0,5,11,9,,9,9,44,12,1,2.58,40
2,89,4,5,3,1,8,3,0,1,1,2,3,3,0,1,2,2,42,4,2,2.52,4
2,89,4,5,3,1,8,3,0,1,1,2,3,3,0,1,2,2,42,8,1,2.52,17
2,89,4,5,3,1,8,3,0,1,1,2,3,3,0,1,2,2,42,10,1,2.52,16
2,89,4,5,3,1,8,3,0,1,1,2,3,3,0,1,2,2,42,7,1,2.52,
4,81,4,5,2,1,9,9,0,0,0,0,5,6,9,,9,9,62,14,1,2.22,29
7,73,4,1,3,1,8,0,3,1,1,2,3,1,0,1,1,1,31,16,1,0.6,58
2,57,4,1,6,1,8,3,0,1,1,2,5,1,1,2,1,1,51,10,1,0.9,33
11,3,4,5,1,1,1,1,0,1,1,0,3,3,1,2,1,1,51,6,1,3.2,9
11,3,4,5,1,1,1,1,0,1,1,0,3,3,1,2,1,1,51,4,1,3.2,
5,82,4,5,7,1,9,3,0,1,1,3,2,3,0,5,1,1,62,5,1,1.32,6
5,82,4,5,7,1,9,3,0,1,1,3,2,3,0,5,1,1,62,7,1,1.32,17
10,59,4,1,5,1,9,0,3,1,1,5,3,1,0,1,1,1,44,16,1,2.58,62
5,55,4,1,7,1,9,9,0,0,0,0,5,11,1,2,9,9,62,13,2,3.12,41
5,55,4,1,7,1,9,9,0,0,0,0,5,11,1,2,9,9,62,9,1,3.12,25
5,64,4,1,2,1,8,3,0,1,1,3,3,1,0,5,1,1,61,9,1,1.32,17
5,64,4,1,2,1,8,3,0,1,1,3,3,1,0,5,1,1,61,17,1,1.32,58
6,43,4,1,4,1,8,3,0,1,1,3,3,1,1,2,1,1,11,7,1,2.52,18
6,43,4,1,4,1,8,3,0,1,1,3,3,1,1,2,1,1,11,16,1,2.52,58
6,34,4,1,4,1,8,0,3,1,0,3,3,1,0,7,1,1,61,9,2,0.6,16
8,6,4,5,1,1,8,3,0,1,1,2,3,3,0,6,1,1,42,5,1,1.32,6
8,6,4,5,1,1,8,3,0,1,1,2,3,3,0,6,1,1,42,5,1,1.32,4
10,35,3,1,4,1,9,3,0,3,1,0,3,1,1,2,1,1,31,5,1,6.36,8
10,35,3,1,4,1,9,3,0,3,1,0,3,1,1,2,1,1,31,8,2,6.36,3
2,49,4,1,5,1,9,0,3,1,1,3,3,1,1,2,1,1,11,15,1,5.04,49
2,49,4,1,5,1,9,0,3,1,1,3,3,1,1,2,1,1,11,9,1,5.04,26
8,69,4,1,5,1,8,0,3,1,1,3,3,1,1,2,1,1,11,11,1,10.76,34
8,69,4,1,5,1,8,0,3,1,1,3,3,1,1,2,1,1,11,5,1,10.76,6
4,3,2,5,3,1,9,1,0,1,1,2,3,3,0,1,1,1,51,99,0,3.8,
4,3,2,5,3,1,9,1,0,1,1,2,3,3,0,1,1,1,51,9,1,3.8,25
4,3,2,5,3,1,9,1,0,1,1,2,3,3,0,1,1,1,51,5,1,3.8,7
4,29,4,1,2,1,8,0,3,1,1,3,3,11,1,2,1,1,41,7,1,0.6,18
1,55,4,1,2,1,9,1,0,1,1,2,5,1,1,2,1,1,51,7,1,4.44,
