HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
8,47,4,1,2,1,9,0,5,5,1,1,3,1,1,2,1,1,51,7,2,1.32,19
6,68,4,1,2,1,8,3,0,1,1,2,3,11,0,6,1,1,61,5,2,1.32,8
6,68,4,1,2,1,8,3,0,1,1,2,3,11,0,6,1,1,61,15,1,1.32,32
4,64,4,1,5,1,9,3,0,1,1,0,5,1,1,2,1,1,51,99,0,1.92,
12,72,4,5,5,1,9,9,0,0,0,0,5,6,1,2,9,9,62,11,1,1.32,29
12,72,4,5,5,1,9,9,0,0,0,0,5,6,1,2,9,9,62,5,1,1.32,5
9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2,1,1,51,11,1,5.76,38
9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2,1,1,51,8,1,5.76,24
9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2,1,1,51,5,2,5.76,6
9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2,1,1,51,10,1,5.76,33
9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2,1,1,51,7,1,5.76,16
4,31,4,1,3,1,9,0,3,1,1,5,3,1,1,2,1,1,11,6,1,4.12,11
4,31,4,1,3,1,9,0,3,1,1,5,3,1,1,2,1,1,11,8,1,4.12,18
9,77,2,5,7,1,8,3,0,1,1,2,3,3,1,2,1,1,31,9,1,2.52,20
9,77,2,5,7,1,8,3,0,1,1,2,3,3,1,2,1,1,31,9,2,2.52,27
2,67,4,1,2,1,8,1,0,1,1,2,3,1,1,2,1,1,51,14,1,7.62,52
2,67,4,1,2,1,8,1,0,1,1,2,3,1,1,2,1,1,51,12,2,7.62,29
4,59,4,1,7,1,8,0,3,2,1,3,3,1,1,2,1,1,51,9,1,2.52,27
4,59,4,1,7,1,8,0,3,2,1,3,3,1,1,2,1,1,51,13,1,2.52,47
4,59,4,1,7,1,8,0,3,2,1,3,3,1,1,2,1,1,51,5,1,2.52,5
6,34,4,1,4,1,9,3,0,1,1,4,3,1,1,2,1,1,11,7,2,2.58,7
7,52,4,1,4,1,8,0,2,1,1,5,3,1,0,1,1,1,41,99,0,1.32,
3,54,4,1,2,1,9,3,0,1,1,2,3,1,9,7,1,1,21,4,1,0.6,3
1,12,4,5,6,1,8,3,0,1,1,4,3,3,1,2,1,1,41,5,2,1.92,7
1,12,4,5,6,1,8,3,0,1,1,4,3,3,1,2,1,1,41,5,1,1.92,7
9,82,2,5,7,1,8,1,0,1,1,2,3,3,0,6,1,1,51,8,1,1.32,24
9,82,2,5,7,1,8,1,0,1,1,2,3,3,0,6,1,1,51,7,1,1.32,18
7,52,4,1,4,1,8,3,0,1,1,2,3,1,0,5,1,1,44,8,1,4.5,4
7,52,4,1,4,1,8,3,0,1,1,2,3,1,0,5,1,1,44,6,2,4.5,6
5,65,4,1,4,1,9,1,0,1,1,0,5,1,1,2,9,9,62,14,1,3.12,44
5,65,4,1,4,1,9,1,0,1,1,0,5,1,1,2,9,9,62,8,2,3.12,17
5,65,4,1,4,1,9,1,0,1,1,0,5,1,1,2,9,9,62,10,1,3.12,30
4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1,1,1,62,8,1,2.52,16
4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1,1,1,62,99,0,2.52,
4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1,1,1,62,7,2,2.52,15
4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1,1,1,62,5,1,2.52,5
12,73,4,5,3,1,8,1,0,1,1,2,3,3,0,1,1,1,51,9,1,1.32,27
2,58,4,1,3,1,8,0,2,2,1,5,3,1,1,2,9,2,42,7,2,3.97,8
2,58,4,1,3,1,8,0,2,2,1,5,3,1,1,2,9,2,42,7,1,3.97,11
7,23,4,5,6,1,8,0,3,3,1,3,3,6,1,2,1,1,61,6,1,8.88,7
7,23,4,5,6,1,8,0,3,3,1,3,3,6,1,2,1,1,61,11,1,8.88,34
4,75,4,1,5,1,9,0,3,3,1,2,3,1,1,2,1,1,62,15,1,1.92,48
4,75,4,1,5,1,9,0,3,3,1,2,3,1,1,2,1,1,62,7,2,1.92,17
4,75,4,1,5,1,9,0,3,3,1,2,3,1,1,2,1,1,62,9,2,1.92,20
1,45,4,1,3,1,8,1,0,1,1,3,3,1,1,2,1,1,51,12,1,2.88,39
1,45,4,1,3,1,8,1,0,1,1,3,3,1,1,2,1,1,51,12,1,2.88,45
1,45,4,1,3,1,8,1,0,1,1,3,3,1,1,2,1,1,51,5,1,2.88,6
1,59,4,1,4,1,9,3,0,1,1,2,3,1,1,2,1,1,42,16,2,1.32,58
1,59,4,1,4,1,9,3,0,1,1,2,3,1,1,2,1,1,42,10,1,1.32,32
11,33,4,1,4,1,8,3,0,1,1,2,3,1,0,1,1,1,11,14,1,0.6,33
9,41,4,1,5,1,8,2,0,1,1,2,3,1,0,6,1,1,31,15,1,3.12,49
9,41,4,1,5,1,8,2,0,1,1,2,3,1,0,6,1,1,31,13,1,3.12,46
3,58,4,1,3,1,8,0,3,1,1,4,3,1,0,6,1,1,61,8,1,1.32,21
3,58,4,1,3,1,8,0,3,1,1,4,3,1,0,6,1,1,61,11,2,1.32,36
5,92,4,5,2,1,9,0,3,1,0,3,3,3,1,2,1,1,11,11,1,1.32,28
5,92,4,5,2,1,9,0,3,1,0,3,3,3,1,2,1,1,11,10,1,1.32,31
2,59,4,1,7,1,8,0,2,1,1,5,4,1,1,2,1,1,41,99,0,0.6,
12,65,4,1,7,1,9,0,3,1,1,3,3,1,1,2,1,1,11,6,1,4.12,7
2,76,4,5,4,1,8,0,3,4,1,5,4,3,0,1,1,1,42,14,1,3.12,51
2,76,4,5,4,1,8,0,3,4,1,5,4,3,0,1,1,1,42,13,1,3.12,35
2,76,4,5,4,1,8,0,3,4,1,5,4,3,0,1,1,1,42,14,1,3.12,51
4,56,4,1,5,1,8,2,0,1,1,3,3,1,1,2,2,1,11,10,1,0.9,28
3,46,4,1,4,1,8,0,3,1,1,5,3,1,1,2,1,1,61,12,1,8.88,28
3,46,4,1,4,1,8,0,3,1,1,5,3,1,1,2,1,1,61,8,1,8.88,21
5,89,4,5,4,1,8,3,0,2,1,3,3,6,1,2,1,1,31,12,2,8.52,7
5,89,4,5,4,1,8,3,0,2,1,3,3,6,1,2,1,1,31,8,1,8.52,22
5,89,4,5,4,1,8,3,0,2,1,3,3,6,1,2,1,1,31,99,0,8.52,
2,67,4,1,4,1,9,0,3,1,1,5,3,1,1,4,2,2,32,5,1,1.92,6
2,51,4,1,4,1,9,0,3,2,1,5,3,1,1,2,2,2,62,15,1,1.92,53
2,51,4,1,4,1,9,0,3,2,1,5,3,1,1,2,2,2,62,13,2,1.92,33
2,51,4,1,4,1,9,0,3,2,1,5,3,1,1,2,2,2,62,10,1,1.92,32
3,40,4,1,2,1,8,0,3,1,1,5,3,1,0,5,1,1,42,6,1,1.32,10
3,40,4,1,2,1,8,0,3,1,1,5,3,1,0,5,1,1,42,13,1,1.32,55
12,53,4,1,5,1,4,2,0,1,1,3,3,1,1,2,1,1,51,9,1,0.6,24
7,87,4,5,5,1,8,3,0,1,1,4,4,3,1,2,1,1,51,5,1,1.32,5
7,87,4,5,5,1,8,3,0,1,1,4,4,3,1,2,1,1,51,99,0,1.32,
5,57,4,1,3,1,9,0,3,1,1,2,3,1,1,3,1,1,11,11,1,5.04,35
