pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2023000204,1,1,2,3000,4756,,9999,,,,,,61,2023,4,10,60,3,1,2,9,2,12,8,3,0,1,1,3,4,1,,1,1,9,9,9,0,0,9,1,11,111,0,12,3,222947,637838
2023000208,1,1,1,3000,1093,1121,,92870888,,,,,61,2023,2,20,42,4,1,2,1,3,2,8,3,0,1,1,2,3,1,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,217745,631262
2023000210,1,1,2,1082,112,,9999,,,,,,34,2023,4,27,59,4,1,5,9,3,5,8,3,0,1,1,3,3,1,6,1,1,9,9,9,0,0,9,6,62,621,39,19,3,162008,589739
2023000214,1,1,3,0,,,,,4,85,2305,4050,12,2023,11,4,61,4,1,7,1,3,2,9,0,3,4,1,3,3,1,2,1,1,9,9,9,0,0,9,2,24,246,99,99,1,209402,758228
2023000217,1,2,4,0,,,,,398,0,14,,43,2023,10,7,1,1,5,7,9,3,2,9,2,0,3,1,3,3,5,,1,1,9,9,9,0,0,9,7,77,777,99,99,1,223541,620431
2023000227,1,2,4,0,,,,,3755,0,4,,43,2023,12,31,68,4,5,1,9,3,5,9,3,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,7,77,777,99,99,1,216295,623688
2023000233,1,1,2,1020,135,,9999,,,,,,12,2023,5,23,69,4,1,3,9,3,1,9,0,3,1,1,3,3,1,,1,1,9,9,9,1,3,1,3,32,324,0,16,3,192506,713309
2023000236,1,1,3,0,,,,,65,7266,565,1133,14,2023,12,16,90,4,5,7,1,2,5,9,3,0,4,1,3,3,3,2,1,1,9,9,9,0,0,9,2,23,233,99,99,1,237093,729789
2023000238,1,1,3,0,,,,,89,0,11,12186,12,2023,12,8,69,4,5,6,1,3,2,9,9,0,0,0,0,5,6,2,9,9,9,9,9,0,0,9,2,24,245,99,99,1,210869,768869
2023000263,1,1,4,0,,,,,4,0,1113,,20,2023,3,5,28,4,1,1,9,2,3,8,1,0,3,0,3,3,1,,1,1,9,9,9,0,0,9,4,43,432,99,99,1,183674,659095
2023000272,1,1,4,0,,,,,352,0,27,,38,2023,10,16,24,4,5,2,9,2,3,9,3,0,4,1,3,4,5,,9,2,9,9,9,0,0,9,6,61,614,99,99,1,168840,609064
2023000274,1,1,2,8400,403,,45,,,,,,52,2023,10,29,32,4,1,1,9,3,4,9,3,0,1,1,5,3,1,,1,1,9,9,9,0,0,9,4,44,441,0,14,1,182576,643728
2023000288,1,1,1,7800,502,508,,8840179,,,,,12,2023,1,27,51,4,1,6,0,3,2,8,3,0,1,1,2,3,1,5,1,1,9,9,9,0,0,9,3,32,324,99,16,1,199966,708702
2023000297,1,1,3,0,,,,,3,424,2693,161,61,2023,7,6,67,4,1,5,1,2,2,9,0,3,5,1,5,3,1,2,1,1,9,9,9,0,0,9,7,77,777,99,99,1,197986,638033
2023000309,1,1,3,0,,,,,70,79,527,1209,12,2023,6,29,66,4,1,5,1,3,2,9,3,0,4,1,3,3,1,2,1,1,9,9,9,0,0,9,3,31,311,99,99,1,214065,745761
2023000311,1,1,2,5000,2412,,9999,,,,,,20,2023,9,11,47,4,1,2,9,3,3,8,3,0,1,1,3,3,11,6,1,1,9,9,9,0,0,9,5,51,511,0,13,3,178277,661367
2023000317,1,1,1,7900,136,118,,8310012,,,,,51,2023,9,27,57,4,1,4,1,2,2,9,0,3,1,1,2,3,1,2,1,1,9,9,9,0,0,9,4,42,422,0,13,1,188962,667223
2023000318,1,1,2,5000,1620,,35,,,,,,20,2023,11,28,68,4,5,3,9,1,11,8,1,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177417,662207
